ID,Product,Price,Carts,Orders
1876,"Cadbury Selection Pack  89g (Box of 24)",£26.16,1,0
1910,"Cadbury Boost Bar 48.5g ",£0.69,1,0
1912,"Cadbury Bournville 45g Bar",£0.69,1,0
1915,"Cadbury Buttons Treatsize Minis 12 Pack 170g",£2.35,1,0
1922,"Cadbury Chocolate &amp; Wines Hamper",£50.00,3,0
1923,"Cadbury Chocolate Basket",£30.00,2,0
1943,"Cadbury Dairy Milk Caramel Bar 120g",£1.49,1,0
1944,"Dairy Milk Caramel Bar 200g",£2.49,1,0
1945,"Cadbury Dairy Milk Crunchie Bar 200g",£2.49,1,0
1948,"Dairy Milk Fruit &amp; Nut 110g",£1.49,1,0
1949,"Dairy Milk Fruit &amp; Nut 200g",£2.49,1,0
1954,"Cadbury Dairy Milk Whole Nut 45g ",£0.69,1,0
1957,"Cadbury Double Decker Bar",£0.69,1,0
1975,"Cadbury Heroes 185g Carton",£3.09,1,1
1976,"Cadbury Heroes 290g",£4.59,1,0
1977,"Cadbury Heroes Tub (600g)",£8.09,3,1
1995,"Cadbury Roses Tub (600g)",£8.09,1,0
2016,"Dairy Milk Jelly Popping Candy 47g",£0.69,1,0
2037,"Cadbury Merry Christmas Chocolate Gift",£10.00,2,3
2045,"Cadbury Christmas Chocolate Magic Basket",£50.00,2,0
2048,"Cadbury Christmas Sharing Basket",£30.00,3,0
2050,"Cadbury Christmas Super Fun Pack",£10.00,2,0
2051,"Cadbury Christmas Hamper - Large",£40.00,2,0
2078,"Cadbury Curly Wurly Bar 21.6g",£0.40,1,0
2093,"Cadbury Dairy Milk Bars 850g Twin Pack",£20.00,2,0
2100,"Dairy Milk Caramel Bar 45g",£0.69,1,0
2119,"Dairy Milk Fruit &amp; Nut 49g Bar",£0.69,1,0
2151,"Cadbury Deluxe Chocolate Hamper",£50.00,2,0
2190,"Cadbury Giant Selection Box ",£15.00,2,1
2197,"Cadbury Halloween Chocolate Treats",£10.00,2,0
2305,"Thank You Chocolate Basket",£30.00,2,0
2325,"Cadbury Ultimate Christmas Hamper",£70.00,2,2
2375,"G&amp;B Organic Connoisseur Collection 540g",£17.99,1,0
2492,"G&amp;B Chocolate Lovers Collection - Large",£25.00,2,0
2496,"G&amp;B Chocolate Lovers Hamper Basket",£30.00,1,2
2502,"G&amp;B Organic Dark 70% 35g Bar",£0.85,1,0
2509,"G&amp;B Dark Cook&#039;s Chocolate Bar 150g",£2.50,1,0
2521,"G&amp;B Organic Hazelnut &amp; Currant 90g Bar",£2.00,1,0
2522,"G&amp;B Organic Hazelnut &amp; Currant 90g Bar (Box of 15)",£30.00,1,0
2526,"G&amp;B Organic Maya Gold 90g Bar (Box of 15)",£30.00,1,0
2527,"G&amp;B Organic Milk 90g Bar",£2.00,1,0
2536,"G&amp;B Milk Miniature Bar Collection 180g",£6.99,1,0
2551,"G&amp;B Organic Tasting Collection 395g",£12.99,1,0
2557,"G&amp;B Organic White 90g Bar",£2.00,1,0
2558,"G&amp;B Organic White 90g Bar (Box of 15)",£30.00,1,0
2563,"G&amp;B White Cook&#039;s Chocolate Bar 150g",£2.50,1,0
2645,"Pick n Mix Select",£0.00,2,2
2662,"Cadbury Crunchie Treatsize 210g",£2.79,2,0
2684,"Fry&#039;s Peppermint Cream ",£0.72,1,0
2700,"Cadbury Heroes Pouch (357g)",£6.29,1,0
2703,"Christmas Sweetshop Hamper",£17.00,2,0
2704,"Cadbury Christmas Hamper ",£30.00,2,0
2724,"Cadbury Halloween Party Pack",£10.00,2,4
2737,"Christmas Double Deck Selection Box ",£15.00,2,0
2755,"Dairy Milk Merry Christmas Bar 850g With Sleeve",£12.00,2,0
2758,"Wicker Hamper",£15.00,2,0
2860,"Daim Selection Box",£12.00,2,0
2897,"G&amp;B Velvet Raspberry &amp; Hazelnut Dark Chocolate 90g Bar ",£2.00,1,0
2921,"Organic Chocolate Club Subscription",£36.00,1,0
2926,"Velvet Edition Chocolate Club Subscription",£36.00,1,0
2929,"G&amp;B Organic Tasting Collection &amp; Red Wine",£27.00,1,0
2937,"Pick n Mix Select",£0.00,1,0
2966,"Cadbury Double Deck Selection Box ",£15.00,3,16
2994,"Halloween Goo Eggs Gift Box",£12.50,1,0
3039,"Dairy Milk No.1 Dad Bar (850g)",£12.00,1,0
3055,"Happy Birthday Dairy Milk Bar (850g)",£12.00,2,0
3057,"Thank You Dairy Milk Bar (200g)",£3.59,2,0
3100,"Cadbury Birthday Gift",£10.00,3,0
3105,"Fry&#039;s Collection Selection Box 249g",£2.99,1,1
3117,"Cadbury Goo Heads Creme Eggs 5 Pack (200g)",£2.85,1,0
3118,"Cadbury Goo Heads Creme Eggs Minis ",£1.49,2,2
3124,"Cadbury Goo Heads Eggs 40g",£0.65,1,1
3190,"Bournville Selection Box &amp; Tea Towel",£10.95,2,1
3197,"White Wine- Pinot Grigio Black Pigs 75cl",£11.99,1,0
3198,"Red Wine- Shiraz Cabernet Black Pigs 75cl",£11.99,1,0
3207,"Cadbury Christmas Combination Hamper",£20.00,3,0
3240,"Cadbury Birthday Chocolate Basket",£30.00,5,0
3273,"Happy 60th Birthday Dairy Milk Bar (850g)",£11.50,2,0
3320,"Cadbury Chocolate Thank You Gift",£10.00,2,0
3340,"Cadbury Treatsize Goody Box",£15.00,3,1
3355,"Cadbury Halloween Dairy Milk Oreoooo Bag 72g",£1.49,2,6
3374,"Cadbury 3D Advent Calendar 308g ",£10.00,1,0
3391,"Cadbury Dairy Milk 30% Less Sugar Chocolate Bar 35g ",£0.69,1,0
3395,"Cadbury Dairy Milk Chunk Mixed Pouch ",£6.29,1,0
3397,"Cadbury Heroes Share Box (385g)",£5.99,1,0
3402,"Cadbury Orange Twirl 43g",£0.69,1,0
3465,"Cadbury Birthday Bars &amp; Beers Hamper",£23.50,2,0
3493,"Cadbury Deluxe Thank You Hamper",£50.00,2,0
3498,"Thinking Of You Dairy Milk Bar (850g)",£12.00,2,0
3503,"G&amp;B Thank You Dark 70% 90g Bar",£3.50,1,0
3515,"Cadbury Thank You Chocolate Gift",£20.00,2,0
3552,"Cadbury Dairy Milk Chunk Advent Calendar 258g (Box of 6)",£35.94,1,0
3563,"Postal Select",£11.00,1,0
3576,"Cadbury Santa&#039;s Sleigh Kit ",£14.00,2,0
3583,"Cadbury Family Treatsize Bag 222g",£2.79,2,3
3584,"Cadbury Family Treatsize Bag 222g (Box of 14)",£39.06,1,0
3585,"Cadbury Dairy Milk Freddo &amp; Friends Treatsize Bag 191g",£2.79,1,0
3601,"Santa&#039;s No.1 Elf Dairy Milk Gift Bar (200g)",£3.59,2,0
3609,"Personalised Milk Tray 530G",£15.50,2,1
3651,"Personalised Green &amp; Black&#039;s Organic Dark 70% 90g",£5.00,1,0
3757,"Thank You Dairy Milk Bar (850g) ",£12.00,2,1
3826,"Dairy Milk 850g with Christmas sleeve XX Large",£13.00,1,0
3835,"TNCC Sour Squirms Bag 160g ",£1.32,1,0
4110,"Cadbury Birthday Selection Box Gift",£20.00,3,0
4113,"Cadbury Thank You Selection Box Gift",£20.00,2,0
4197,"Cadbury Happy Birthday Selection Box ",£15.00,3,5
4218,"Cadbury Thank You Selection Box ",£15.00,2,0
4227,"Cadbury Dairy Milk Cottage Kit",£16.00,1,1
4254,"Cadbury Dairy Milk &amp; OREO Train Kit",£10.00,6,11
4292,"Happy 16th Birthday Dairy Milk Bar",£3.59,1,0
4295,"Happy 18th Birthday Dairy Milk Bar",£3.59,1,0
4307,"Happy 40th Birthday Dairy Milk Bar",£3.59,1,0
4397,"Cadbury Dad&#039;s Chocolate Gift",£20.00,2,0
4400,"Cadbury Caramilk Golden Caramel Bar 90g",£1.49,2,1
4403,"Cadbury Caramilk Golden Caramel Bar 90g (Box of 24)",£35.76,1,0
4442,"CADBURY CARAMILK BAR POST BOX",£8.50,1,0
4448,"Cadbury Dairy Milk Christmas Chocolate House Kit",£14.00,4,2
4499,"Cadbury Teacher&#039;s Chocolate Gift",£20.00,2,0
4514,"Thank You Teacher Chocolate Basket",£30.00,2,0
